bit_index,timestamp_s,alice_sent,bob_received,is_error,trigger
1894,7.576000000000001e-06,1,1,False,photon
15362,6.1448e-05,1,1,False,photon
28677,0.00011471000000000002,0,0,False,photon
42293,0.000169172,1,1,False,photon
55067,0.00022026800000000003,1,1,False,photon
68093,0.000272372,1,1,False,photon
81236,0.000324944,1,1,False,photon
94428,0.00037771200000000005,1,1,False,photon
107930,0.000431722,0,0,False,photon
120549,0.00048219600000000006,1,1,False,photon
135969,0.000543878,0,0,False,photon
149180,0.00059672,1,1,False,photon
162439,0.0006497580000000001,0,0,False,photon
175538,0.000702152,1,1,False,photon
188928,0.0007557140000000001,0,0,False,photon
202008,0.0008080320000000001,1,1,False,photon
214539,0.000858158,0,0,False,photon
228610,0.0009144420000000001,0,0,False,photon
241812,0.0009672500000000001,0,0,False,photon
257578,0.001030312,1,1,False,photon
272589,0.001090356,0,1,True,dark_count
285236,0.001140944,1,1,False,photon
302899,0.0012115960000000001,1,1,False,dark_count
315483,0.0012619320000000001,0,1,True,dark_count
329207,0.0013168280000000001,1,1,False,photon
342519,0.001370078,0,0,False,photon
357760,0.0014310400000000002,1,1,False,photon
370686,0.001482744,1,1,False,photon
386465,0.001545862,0,0,False,photon
401238,0.0016049540000000002,0,0,False,photon
415675,0.0016627,1,1,False,photon
428773,0.0017150940000000001,0,0,False,photon
441581,0.001766324,1,1,False,photon
455087,0.001820348,1,1,False,photon
468567,0.0018742680000000001,1,1,False,photon
481397,0.0019255900000000002,0,0,False,photon
494239,0.001976958,1,0,True,dark_count
510740,0.00204296,1,1,False,photon
523676,0.002094704,1,1,False,photon
537120,0.0021484819999999997,0,0,False,photon
549924,0.002199696,1,1,False,photon
562564,0.0022502579999999998,0,0,False,photon
575621,0.002302486,0,0,False,photon
589416,0.002357664,1,1,False,photon
602147,0.002408588,1,1,False,photon
614657,0.00245863,0,0,False,photon
628210,0.002512842,0,0,False,photon
640848,0.0025633920000000003,1,1,False,photon
653989,0.002615956,1,1,False,photon
666971,0.002667884,1,1,False,photon
679602,0.00271841,0,0,False,photon
693228,0.002772914,1,0,True,dark_count
705961,0.0028238440000000003,0,1,True,dark_count
719317,0.002877268,1,1,False,photon
734897,0.00293959,0,0,False,photon
748410,0.00299364,1,1,False,photon
762918,0.003051674,0,0,False,photon
776841,0.003107364,1,1,False,photon
790796,0.003163186,0,0,False,photon
803994,0.003215978,0,0,False,photon
816850,0.0032674,1,1,False,photon
829929,0.0033197160000000003,1,1,False,dark_count
842869,0.0033714780000000002,0,0,False,photon
856066,0.003424266,0,0,False,photon
868691,0.0034747660000000002,0,0,False,photon
881935,0.00352774,1,1,False,dark_count
896037,0.003584148,1,1,False,photon
909228,0.0036369120000000004,1,1,False,dark_count
922103,0.0036884120000000003,1,1,False,photon
934957,0.00373983,1,0,True,dark_count
947893,0.0037915740000000002,0,0,False,photon
961020,0.003844082,0,0,False,photon
974080,0.0038963200000000004,1,1,False,photon
989087,0.00395635,0,0,False,photon
1003058,0.004012232,0,1,True,dark_count
1017348,0.004069392000000001,1,1,False,photon
1032694,0.004130776,1,1,False,photon
1046122,0.004184488,1,1,False,photon
1059707,0.004238828,1,1,False,photon
1074609,0.004298438,0,0,False,photon
1090708,0.004362834,0,0,False,photon
1104383,0.004417534,0,0,False,photon
1118579,0.004474316,1,1,False,photon
1131429,0.004525716,1,1,False,photon
1150995,0.004603980000000001,1,1,False,photon
1163964,0.004655858,0,0,False,photon
1177955,0.004711822,0,0,False,photon
1190604,0.004762416,0,1,True,dark_count
1203154,0.0048126160000000005,1,1,False,photon
1218011,0.004872044000000001,1,1,False,photon
1233583,0.004934334,0,0,False,photon
1250548,0.005002192,0,1,True,dark_count
1263476,0.0050539040000000006,1,1,False,photon
1276884,0.005107536,1,1,False,photon
1289464,0.005157858,0,0,False,photon
1304706,0.005218824,1,1,False,photon
1318153,0.005272614,0,0,False,photon
1331531,0.0053261260000000005,0,0,False,photon
1344426,0.005377706,1,0,True,dark_count
1357166,0.005428664000000001,1,1,False,photon
1370388,0.005481552000000001,1,1,False,photon
1383894,0.005535576,1,1,False,photon
1396408,0.005585632,1,1,False,photon
1409557,0.00563823,1,0,True,dark_count
1422222,0.00568889,0,0,False,photon
1435797,0.005743188000000001,0,1,True,dark_count
1448520,0.00579408,1,1,False,photon
1461535,0.005846142,1,0,True,dark_count
1475574,0.0059022960000000005,1,1,False,photon
1488358,0.005953432000000001,1,1,False,photon
1503578,0.006014314,0,0,False,photon
