bit_index,timestamp_s,alice_sent,bob_received,is_error,trigger
1410,5.64e-06,1,1,False,photon
15655,6.262000000000001e-05,1,1,False,photon
29021,0.00011608400000000001,1,1,False,photon
43490,0.00017396000000000002,1,1,False,dark_count
56643,0.00022657400000000003,0,0,False,photon
70559,0.000282236,0,1,True,dark_count
85035,0.000340142,0,0,False,photon
99756,0.00039902400000000005,1,1,False,photon
113891,0.000455566,1,0,True,dark_count
128151,0.0005126040000000001,1,1,False,dark_count
150218,0.000600872,1,1,False,photon
172957,0.00069183,0,0,False,photon
190508,0.0007620340000000001,0,0,False,dark_count
204841,0.0008193660000000001,0,0,False,photon
223334,0.0008933380000000001,0,0,False,photon
236724,0.000946896,1,1,False,photon
250615,0.0010024600000000002,1,1,False,dark_count
263887,0.0010555480000000001,1,1,False,photon
283590,0.00113436,1,1,False,dark_count
297802,0.001191208,1,1,False,photon
315023,0.001260092,0,1,True,dark_count
330429,0.0013217180000000002,0,0,False,dark_count
344818,0.0013792720000000002,1,1,False,dark_count
360605,0.001442422,0,0,False,dark_count
377019,0.0015080760000000001,1,1,False,photon
392544,0.0015701780000000002,1,0,True,dark_count
417090,0.00166836,0,1,True,dark_count
431629,0.0017265160000000002,0,1,True,dark_count
450368,0.0018014740000000002,0,0,False,photon
466814,0.0018672580000000001,0,0,False,photon
479774,0.0019190980000000002,0,0,False,photon
496720,0.0019868800000000003,1,1,False,dark_count
517086,0.002068346,0,0,False,photon
533562,0.002134248,1,1,False,photon
548761,0.002195046,1,0,True,dark_count
561593,0.002246372,1,1,False,photon
576879,0.002307518,0,0,False,photon
590321,0.0023612859999999998,0,0,False,dark_count
608455,0.00243382,1,1,False,photon
644389,0.002577556,1,1,False,photon
658938,0.002635754,0,0,False,dark_count
674593,0.002698372,1,1,False,photon
692784,0.002771136,1,1,False,photon
705740,0.002822962,0,0,False,photon
729501,0.002918004,0,1,True,dark_count
742171,0.002968686,1,0,True,dark_count
777631,0.0031105240000000004,0,1,True,dark_count
795743,0.003182972,0,1,True,dark_count
812522,0.0032500880000000004,1,1,False,photon
829181,0.003316724,1,1,False,photon
847552,0.003390208,0,1,True,dark_count
864716,0.0034588640000000003,1,1,False,dark_count
899528,0.003598114,0,0,False,photon
916323,0.003665292,1,1,False,photon
929684,0.003718738,0,0,False,photon
945064,0.003780258,1,0,True,dark_count
971357,0.00388543,0,0,False,dark_count
991844,0.003967378,0,0,False,dark_count
1005251,0.004021004,1,1,False,dark_count
1024956,0.004099824,1,1,False,photon
1041319,0.004165276,1,1,False,photon
1054973,0.004219894,0,0,False,dark_count
1069854,0.004279418,0,0,False,photon
1083088,0.004332354,0,0,False,photon
1098628,0.004394514,0,0,False,photon
1114191,0.004456764,1,1,False,photon
1129845,0.00451938,0,1,True,dark_count
1156129,0.004624516,1,1,False,photon
1169128,0.004676512000000001,1,1,False,photon
1181644,0.004726578,0,0,False,photon
1199532,0.0047981280000000005,1,1,False,photon
1212499,0.0048499960000000005,1,1,False,dark_count
1229684,0.004918738,0,0,False,photon
1244447,0.00497779,0,0,False,photon
1258561,0.005034244,1,1,False,photon
1271381,0.005085526,0,0,False,photon
1284245,0.005136982,0,0,False,photon
1299885,0.00519954,1,1,False,photon
1315716,0.005262864,0,1,True,dark_count
1333299,0.005333198,1,0,True,dark_count
1347676,0.0053907040000000005,1,1,False,photon
1364128,0.005456512,0,1,True,dark_count
1377846,0.005511384,1,1,False,dark_count
1393025,0.0055721,1,1,False,photon
1405793,0.005623174,0,0,False,dark_count
1418839,0.005675356,0,1,True,dark_count
1439530,0.005758122,0,0,False,photon
1453953,0.005815814,0,0,False,photon
1490211,0.005960844000000001,1,1,False,photon
1507625,0.006030502,0,0,False,photon
1521782,0.006087128000000001,0,1,True,dark_count
